zone,forecast_hour,rank,patch_y,patch_x,attention,attention_norm
NH,7,6,4,1,0.01759299822151661,0.01888164290901191
NH,7,7,0,0,0.016305947676301003,0.017500319015572943
NH,7,8,6,0,0.01629582978785038,0.017489460016196463
NH,8,1,4,0,0.025085901841521263,0.027089703364775074
NH,8,2,2,0,0.02472647838294506,0.026701570024515606
NH,8,3,3,0,0.024620788171887398,0.02658743753351727
NH,8,4,5,0,0.021916037425398827,0.0236666378006269
NH,8,5,1,0,0.019173115491867065,0.020704617858050074
NH,8,6,4,1,0.01777533069252968,0.019195181369736636
NH,8,7,6,0,0.0159202478826046,0.017191919005264417
NH,8,8,0,0,0.01588747464120388,0.017156527916139683
NH,9,1,4,0,0.02507656253874302,0.027207222030348286
NH,9,2,2,0,0.02439597062766552,0.026468802830821397
NH,9,3,3,0,0.024389522150158882,0.026461806450874596
NH,9,4,5,0,0.02160344272851944,0.023439004529693566
NH,9,5,1,0,0.01857822947204113,0.020156750487458155
NH,9,6,4,1,0.018055716529488564,0.019589841621069685
NH,9,7,6,0,0.015748405829072,0.017086487565973644
NH,9,8,0,0,0.015199000015854836,0.016490400844682826
NH,10,1,4,0,0.025282111018896103,0.027536169479829363
NH,10,2,3,0,0.024328026920557022,0.02649702281164808
NH,10,3,2,0,0.02414759248495102,0.02630050151660548
NH,10,4,5,0,0.02194450981914997,0.023901000240061337
NH,10,5,4,1,0.018463654443621635,0.02010980481798268
NH,10,6,1,0,0.018001075834035873,0.01960598442965446
NH,10,7,6,0,0.01591520756483078,0.017334147946913722
NH,10,8,7,0,0.014915245585143566,0.016245033097070972
NH,11,1,4,0,0.025959176942706108,0.02842132755435025
NH,11,2,3,0,0.024690216407179832,0.027032009891724218
NH,11,3,2,0,0.024266274645924568,0.026567858517156488
NH,11,4,5,0,0.02320774644613266,0.025408932070520605
NH,11,5,4,1,0.019050005823373795,0.02085684213383791
NH,11,6,1,0,0.01775369793176651,0.019437583299862754
NH,11,7,6,0,0.016308316960930824,0.017855112249119825
NH,11,8,7,0,0.015094638802111149,0.016526320331968276
NH,12,1,4,0,0.0271042101085186,0.029886064056014797
NH,12,2,3,0,0.02547270990908146,0.02808711403044461
